question_type,level_1,document_id,document_source,document_url,category,umls_cui,umls_semantic_types,umls_semantic_group,synonyms,question_id,question_focus,question,answer
causes,10718,0002753,GARD,https://rarediseases.info.nih.gov/gard/2627/hemangiopericytoma,,C0018922|C0349622,T191,Disorders,,0002753-3,Hemangiopericytoma,What causes Hemangiopericytoma?,"The cause of the disease is unknown, and no strong clinical data exist to indicate a convincing link to specific causes. Some reports suggest a relationship between hemangiopericytoma and occupational vinyl chloride exposure, as well as exposure to herbicides."
causes,7032,0002890,GARD,https://rarediseases.info.nih.gov/gard/6660/hirschsprungs-disease,,C0019569|C0012634,T019|T047,Disorders,HSCR|Hirschsprung disease 1|HSCR 1|Aganglionic megacolon|Hirschsprung disease type 1,0002890-3,Hirschsprung's disease,What causes Hirschsprung's disease?,"There are a number of different causes of Hirschsprung disease (HSCR). For example, HSCR may occur as: A part of a syndrome In association with a chromosome anomaly (such as trisomy 21 or Down syndrome) Along with other birth defects but not as a part of a known syndrome As an isolated condition"
causes,9090,0006569,GARD,https://rarediseases.info.nih.gov/gard/5757/21-hydroxylase-deficiency,,C1291314|C0852654|C2936858,T019|T047,Disorders,"Congenital adrenal hyperplasia due to 21-hydroxylase deficiency|CYP21 deficiency|21 hydroxylase deficiency|Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency|Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency|Congenital adrenal hyperplasia|Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency",0006569-3,21-hydroxylase deficiency,What causes 21-hydroxylase deficiency?,"Salt-wasting, simple virilizing, and late-onset 21-hydroxylase deficiency are all caused by mutations in the human 21-hydroxylase gene (CYP21A2)."
causes,5743,0003253,GARD,https://rarediseases.info.nih.gov/gard/60/iridocorneal-endothelial-syndrome,,C1096100,T190,Disorders,ICE syndrome,0003253-3,Iridocorneal endothelial syndrome,What causes Iridocorneal endothelial syndrome?,"The cause of this disease is unknown. However, it has been theorized that a viral infection, such as Herpes simplex virus (HSV) or Epstein-Barr virus (EBV) may be the trigger that causes the cornea to swell."
causes,12808,0000015_1,CancerGov,https://www.cancer.gov/types/extracranial-germ-cell/patient/germ-cell-treatment-pdq,,C0205851,T191,Disorders,,0000015_1-2,Childhood Extracranial Germ Cell Tumors,What causes Childhood Extracranial Germ Cell Tumors?,The cause of most childhood extracranial germ cell tumors is unknown.
causes,15566,0000052,NIHSeniorHealth,http://nihseniorhealth.gov/parkinsonsdisease/toc.html,,C0030567,T047,Disorders,,0000052-11,Parkinson's Disease,What causes Parkinson's Disease?,"Parkinson's disease occurs when nerve cells, or neurons, in an area of the brain that controls movement die or become impaired. Normally, these neurons produce an important brain chemical known as dopamine, but once the neurons become impaired, they produce less dopamine and eventually die. It is this shortage of dopamine that causes the movement problems of people with Parkinson's."
causes,7371,0002717,GARD,https://rarediseases.info.nih.gov/gard/288/hallermann-streiff-syndrome,,C0018522,T019|T047,Disorders,Hallermann Streiff syndrome|HSS|Hallermann Streiff Francois syndrome|Francois dyscephalic syndrome,0002717-3,Hallermann-Streiff syndrome,What causes Hallermann-Streiff syndrome?,"The genetic cause of Hallerman-Streiff syndrome has not been identified. It reportedly typically occurs randomly for unknown reasons (sporadically), most likely due to a new spontaneous (de novo) mutation in the affected individual."
causes,10237,0006443,GARD,https://rarediseases.info.nih.gov/gard/5569/wildervanck-syndrome,,C0265239,T047,Disorders,Cervico-oculo-acoustic syndrome|COA Syndrome|Cervico-oculo-acoustic dysplasia|Cervicooculoacoustic syndrome,0006443-3,Wildervanck syndrome,What causes Wildervanck syndrome?,"The exact cause of Wildervanck syndrome is not known. It is suspected to be a polygenic condition, meaning that many genetic factors may be involved."
causes,34426,0000191,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/liver-disease/primary-sclerosing-cholangitis/Pages/facts.aspx,,C0566602,T047,Disorders,,0000191-2,Primary Sclerosing Cholangitis,What causes Primary Sclerosing Cholangitis?,"The causes of PSC are not known. Genes, immune system problems, bacteria, and viruses may play roles in the development of the disease.
 
PSC is linked to inflammatory bowel disease (IBD). About three out of four people with PSC have a type of IBD called ulcerative colitis. The link between PSC and IBD is not yet understood."
causes,10361,0003466,GARD,https://rarediseases.info.nih.gov/gard/6858/langerhans-cell-histiocytosis,,C0019621,T191,Disorders,LCH|Histiocytosis X|Eosinophilic granuloma (formerly)|Letterer-Siwe disease (formerly)|Hand-Schller-Christian syndrome (formerly),0003466-3,Langerhans cell histiocytosis,What causes Langerhans cell histiocytosis?,The cause of Langerhans cell histiocytosis is unknown. It may be triggered by an unusual reaction of the immune system to something commonly found in the environment. It is not considered to be an infection or cancer. It is not known to be hereditary or communicable.
causes,6336,0003876,GARD,https://rarediseases.info.nih.gov/gard/9688/meesmann-corneal-dystrophy,,C0339277,T019,Disorders,"Meesmann corneal epithelial dystrophy|Corneal dystrophy, juvenile epithelial of Meesmann|Juvenile hereditary epithelial dystrophy|Meesman dystrophy",0003876-3,Meesmann corneal dystrophy,What causes Meesmann corneal dystrophy?,Meesmann corneal dystrophy is a genetic disease. It can be caused by mutations in either the KRT12 or KRT3 gene. These genes are thought to play an important role in maintaining normal corneal epithelial function. Meesmann corneal dystrophy is passed through families in an autosomal dominant fashion.
causes,6183,0004261,GARD,https://rarediseases.info.nih.gov/gard/10805/myh-associated-polyposis,,C0032580|C3272841|C0334108,T191,Disorders,MAP syndrome|Autosomal recessive familial adenomatous polyposis|Autosomal recessive multiple colorectal adenomas,0004261-3,MYH-associated polyposis,What causes MYH-associated polyposis?,"Mutations in the MYH gene cause MYH-associated polyposis. Mutations in this gene prevent cells from correcting mistakes that are made when DNA is copied (DNA replication) in preparation for cell division. As these mistakes build up in a person's DNA, the likelihood of cell overgrowth increases, leading to colon polyps and the possibility of colon cancer."
causes,33394,0000015,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/endocrine/prolactinoma/Pages/fact-sheet.aspx,,C0033375,T191,Disorders,,0000015-5,Prolactinoma,What causes Prolactinoma?,"The cause of pituitary tumors remains largely unknown. Most pituitary tumors are sporadic, meaning they are not genetically passed from parents to their children."
causes,6186,0002176,GARD,https://rarediseases.info.nih.gov/gard/2197/esthesioneuroblastoma,,C0206717,T191,Disorders,Olfactory neuroblastoma,0002176-3,Esthesioneuroblastoma,What causes Esthesioneuroblastoma?,The cause of esthesioneuroblastoma is currently unknown.
causes,15001,0000001,NIHSeniorHealth,http://nihseniorhealth.gov/agerelatedmaculardegeneration/toc.html,,C0242383,T047,Disorders,,0000001-14,Age-related Macular Degeneration,What causes Age-related Macular Degeneration?,"Drusen alone do not usually cause vision loss. In fact, scientists are unclear about the connection between drusen and AMD. They do know that an increase in the size or number of drusen raises a person's risk of developing either advanced dry AMD or wet AMD. These changes can cause serious vision loss."
causes,7910,0006402,GARD,https://rarediseases.info.nih.gov/gard/8569/warthin-tumor,,C0001429,T191,Disorders,Papillary cystadenoma lymphomatosum (formerly),0006402-3,Warthin tumor,What causes Warthin tumor?,"The exact underlying cause of Warthin tumor is currently unknown. However, smoking is thought to increase the risk of developing the tumor. Some studies suggest that radiation exposure and autoimmune disorders may also be associated with Warthin tumor."
causes,9746,0003306,GARD,https://rarediseases.info.nih.gov/gard/3056/jones-syndrome,,C1851112,T047,Disorders,Gingival fibromatosis with progressive deafness|GFD|Gingival fibromatosis with sensorineural hearing loss|Familial gingival fibromatosis associated with progressive deafness,0003306-3,Jones syndrome,What causes Jones syndrome?,"The exact, underlying genetic cause of Jones syndrome is not yet known."
causes,10160,0002392,GARD,https://rarediseases.info.nih.gov/gard/10173/florid-cemento-osseous-dysplasia,,C0555197,T191,Disorders,Gigantiform cementoma,0002392-3,Florid cemento-osseous dysplasia,What causes Florid cemento-osseous dysplasia?,"The cause of florid cemento-osseous dysplasia is not known. This condition is usually not familial (i.e., does not tend to run in families), however a rare familial form has been described in a few families. In these families the condition affected younger individuals, and the rate of lesion growth was rapid."
causes,7979,0004177,GARD,https://rarediseases.info.nih.gov/gard/9824/multifocal-choroiditis,,C1533060,T047,Disorders,,0004177-3,Multifocal choroiditis,What causes Multifocal choroiditis?,"Multifocal choroiditis occurs spontaneously and the cause is not currently known (idiopathic). It is possible that a bacterial or viral infection may trigger an immune response that causes the inflammation seen with MFC, though more research is needed in this area."
causes,5461,0002414,GARD,https://rarediseases.info.nih.gov/gard/2365/fowlers-syndrome,,C3203738,T047,Disorders,Voiding dysfunction and polycystic ovaries|Polycystic ovaries urethral sphincter dysfunction|Fowler Christmas Chapple syndrome,0002414-3,Fowler's syndrome,What causes Fowler's syndrome?,"The cause of Fowler's syndrome is not known. The association of Fowlers syndrome and polycystic ovaries in some patients raises the possibility that the syndrome is linked in some way to impaired muscle membrane stability, owing possibly to a hormonal abnormality. The involvement of such a hormonal abnormality may also explain why it primarily affects premenopausal women."
causes,6193,0005631,GARD,https://rarediseases.info.nih.gov/gard/7647/silicosis,,C0037116,T047,Disorders,Chronic silicosis|Accelerated silicosis|Acute silicosis|Experimental silicosis,0005631-3,Silicosis,What causes Silicosis?,"Silicosis is caused by breathing in tiny bits of silica dust. When people breathe silica dust, they inhale tiny particles of silica that has crystallized. This silica dust can cause fluid buildup and scar tissue in the lungs that cuts down the ability to breathe."
causes,7777,0006414,GARD,https://rarediseases.info.nih.gov/gard/4936/weill-marchesani-syndrome,,C0265313,T019|T047,Disorders,WM Syndrome|WMS|Spherophakia-brachymorphia syndrome|Mesodermal dysmorphodystrophy congenital,0006414-3,Weill-Marchesani syndrome,What causes Weill-Marchesani syndrome?,"Weill-Marchesani syndrome is usually caused by mutations in the ADAMTS10 gene. Two families have been found with mutations in different genes, one with a mutation in FBN1 and one with a mutation in LTBP2."
causes,34501,0000192,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/liver-disease/viral-hepatitis-a-through-e/Pages/facts.aspx,,C0042721|C1963279,T047|T033,Disorders,,0000192-9,Viral Hepatitis: A through E and Beyond,What causes Viral Hepatitis: A through E and Beyond?,"Some cases of viral hepatitis cannot be attributed to the hepatitis A, B, C, D, or E viruses, or even the less common viruses that can infect the liver, such as cytomegalovirus, Epstein-Barr virus, herpesvirus, parvovirus, and adenovirus. These cases are called non-AE hepatitis. Scientists continue to study the causes of non-AE hepatitis."
causes,6674,0004465,GARD,https://rarediseases.info.nih.gov/gard/4011/norum-disease,,C0023195,T047,Disorders,Lecithin cholesterol acyltransferase deficiency|LCAT deficiency,0004465-3,Norum disease,What causes Norum disease?,"Norum disease is caused by defects in the LCAT gene. The clinical manifestations of LCAT deficiency are probably due to a defect in LCAT-mediated cholesterol ester formation and, therefore, accumulation of unesterified cholesterol in certain tissues, such as the cornea, kidneys, and erythrocytes (red blood cells)."
causes,9514,0001826,GARD,https://rarediseases.info.nih.gov/gard/8322/diabetic-mastopathy,,C1167667,T047,Disorders,Diabetic fibrous breast disease|Diabetic fibrous mastopathy|Lymphocytic mastitis|Lymphocytic mastopathy|Sclerosing lymphocytic lobulitis,0001826-3,Diabetic mastopathy,What causes Diabetic mastopathy?,"The cause of diabetic mastopathy is unknown. Theories include an autoimmune reaction, genetic factors such as human leukocyte antigen (HLA) type, association with insulin therapy, and association with hyperglycemia."
causes,15461,0000042,NIHSeniorHealth,http://nihseniorhealth.gov/lowvision/toc.html,,C0042798|C0741564|C3665347,T047|T033,Disorders,,0000042-7,Low Vision,What causes Low Vision?,"Low vision can result from a variety of diseases, disorders, and injuries that affect the eye. Many people with low vision have age-related macular degeneration, cataracts, glaucoma, or diabetic retinopathy. Age-related macular degeneration accounts for almost 45 percent of all cases of low vision."
causes,10588,0004337,GARD,https://rarediseases.info.nih.gov/gard/330/neonatal-progeroid-syndrome,,C0406586,T047,Disorders,Wiedemann-Rautenstrauch syndrome|Progeroid syndrome neonatal|Wiedemann Rautenstrauch syndrome,0004337-3,Neonatal progeroid syndrome,What causes Neonatal progeroid syndrome?,"The exact underlying cause of neonatal progeroid syndrome is unknown. Scientists suspect that it is a genetic condition; however, a disease-causing gene has not been identified."
causes,6292,0005553,GARD,https://rarediseases.info.nih.gov/gard/31/serpiginous-choroiditis,,C0729842,T047,Disorders,Geographic choroiditis|Geographic helicoid peripapillary choroidopathy (GHPC)|Geographic serpiginous choroiditis|Peripapillary choriopathy|Serpiginous choroidopathy,0005553-2,Serpiginous choroiditis,What causes Serpiginous choroiditis?,The cause of serpiginous choroiditis is unknown. Speculation exists regarding an association with exposure to various toxic compounds and/or infectious agents. Some researchers believe the condition is related to an organ-specific autoimmune inflammatory process.
causes,10138,0003715,GARD,https://rarediseases.info.nih.gov/gard/6944/lymphomatoid-papulosis,,C0206182,T191,Disorders,LyP,0003715-3,Lymphomatoid papulosis,What causes Lymphomatoid papulosis?,"The cause of lymphomatoid papulosis is unknown, but it is associated with a proliferation of atypical T-cells. T-cells are specific white blood cells involved in immune responses."
causes,6510,0002175,GARD,https://rarediseases.info.nih.gov/gard/5910/essential-tremor,,C3543433|C0270736,T047,Disorders,"Benign essential tremor|Presenile tremor syndrome|Familial essential tremor|Tremor, hereditary essential, 1|Hereditary essential tremor",0002175-3,Essential tremor,What causes Essential tremor?,"The causes of essential tremor are unknown. Researchers are studying several areas (loci) on particular chromosomes that may be linked to essential tremor, but no specific genetic associations have been confirmed. Several genes, as well as environmental factors, are likely involved in an individual's risk of developing this complex condition."
causes,7903,0004201,GARD,https://rarediseases.info.nih.gov/gard/7111/multiple-pterygium-syndrome-escobar-type,,C0265261,T019,Disorders,Escobar syndrome|Multiple pterygium syndrome nonlethal type|Pterygium syndrome|Multiple pterygium syndrome|Pterygium colli syndrome,0004201-3,Multiple pterygium syndrome Escobar type,What causes Multiple pterygium syndrome Escobar type?,"Some cases of multiple pterygium syndrome, Escobar type are caused by mutations in the CHRNG gene. There are likely other causes of this syndrome as well which have not yet been identified. As a result, in some cases the cause for the syndrome can not be determined. Escobar syndrome is usually inherited in an autosomal-recessive fashion."
causes,9226,0000536,GARD,https://rarediseases.info.nih.gov/gard/5871/autoimmune-hepatitis,,C0241910,T047,Disorders,Autoimmune chronic hepatitis|AIH,0000536-3,Autoimmune hepatitis,What causes Autoimmune hepatitis?,"Although the exact cause of autoimmune hepatitis is unknown, evidence suggests that liver injury in a patient with autoimmune hepatitis is the result of a cell-mediated immunologic attack. This autoimmune attack may be triggered by genetic factors, viral infections, or chemical agents. Autoimmune hepatitis sometimes occurs in relatives of people with autoimmune diseases, further suggesting a genetic cause."
causes,10818,0004097,GARD,https://rarediseases.info.nih.gov/gard/7051/mixed-connective-tissue-disease,,C0026272,T047,Disorders,MCTD|Sharp syndrome|Secondary glomerular disease,0004097-3,Mixed connective tissue disease,What causes Mixed connective tissue disease?,"The exact underlying cause of mixed connective tissue disease (MCTD) is currently unknown. It is an autoimmune disorder, which means the immune system mistakes normal, healthy cells for those that that body should ""fight off."" There are ongoing studies exploring how immune system dysfunction may be involved in the development of this condition."
causes,7158,0004005,GARD,https://rarediseases.info.nih.gov/gard/5120/microcephalic-osteodysplastic-primordial-dwarfism-type-1,,C0432244|C0025958,T019|T047,Disorders,MOPD 1|Microcephalic osteodysplastic primordial dwarfism types 1 and 3|Osteodysplastic primordial dwarfism type I|Brachymelic primordial dwarfism|Taybi-Linder syndrome,0004005-3,Microcephalic osteodysplastic primordial dwarfism type 1,What causes Microcephalic osteodysplastic primordial dwarfism type 1?,Microcephalic osteodysplastic primordial dwarfism type 1 (MOPD1) has been shown to be caused by mutations in the RNU4ATAC gene.
causes,8854,0002483,GARD,https://rarediseases.info.nih.gov/gard/10346/gamma-heavy-chain-disease,,C0018854,T047,Disorders,IgG heavy chain disease|Franklin disease|Gamma heavy chain deposition disease,0002483-3,Gamma heavy chain disease,What causes Gamma heavy chain disease?,The causes or risk factors for gamma heavy chain disease are not known.
causes,34050,0000135,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/kidney-disease/acquired-cystic-kidney-disease/Pages/facts.aspx,,C3160745|C1691228|C0022679,T047,Disorders,,0000135-4,Acquired Cystic Kidney Disease,What causes Acquired Cystic Kidney Disease?,"Researchers do not fully understand what causes cysts to grow in the kidneys of people with CKD. The fact that these cysts occur only in the kidneys and not in other parts of the body, as in PKD, indicates that the processes that lead to cyst formation take place primarily inside the kidneys.2"
causes,6146,0001133,GARD,https://rarediseases.info.nih.gov/gard/6036/cherubism,,C0008029,T047,Disorders,CRBM,0001133-3,Cherubism,What causes Cherubism?,"What causes cherubism? Genetic changes (mutations) in the SH3BP2 gene cause cherubism. About 80 percent of people with cherubism have a mutation in the SH3BP2 gene. In most of the remaining cases, the genetic cause of the condition is unknown."
causes,7221,0000854,GARD,https://rarediseases.info.nih.gov/gard/5961/bronchiolitis-obliterans-organizing-pneumonia,,C0242770,T047,Disorders,BOOP|Constrictive bronchiolitis,0000854-3,Bronchiolitis obliterans organizing pneumonia,What causes Bronchiolitis obliterans organizing pneumonia?,"BOOP may be caused by a variety of factors, including viral infections, inhalation of toxic gases, drugs, connective tissue disorders, radiation therapy, cocaine, inflammatory bowl disease, and HIV infection. In many cases, the underlying cause of BOOP is unknown. These cases are called idiopathic BOOP or cryptogenic organizing pneumonia (COP)."
causes,9398,0004180,GARD,https://rarediseases.info.nih.gov/gard/11011/multifocal-motor-neuropathy,,C0393847,T047,Disorders,MMN|MMNCB|Multifocal motor neuropathy with conduction block,0004180-3,Multifocal motor neuropathy,What causes Multifocal motor neuropathy?,"The exact underlying cause of multifocal motor neuropathy (MMN) is poorly understood. It is considered an immune-mediated disorder (due to an abnormal immune system response), both because IVIG therapy improves symptoms, and many patients have anti-GM1 antibodies. Research to further understand the cause of MMN is underway."
causes,6681,0006500,GARD,https://rarediseases.info.nih.gov/gard/7608/x-linked-dominant-scapuloperoneal-myopathy,,C2931268,T047,Disorders,"Scapuloperoneal myopathy, X-linked dominant|Scapuloperoneal myopathy, FHL1-related|SPM",0006500-3,X-linked dominant scapuloperoneal myopathy,What causes X-linked dominant scapuloperoneal myopathy?,X-linked dominant scapuloperoneal myopathy is caused by mutations in the FHL1 gene. The FHL1 gene is located on chromosome Xq26. This gene may be involved in muscle development or hypertrophy.
causes,15689,0000032,NIHSeniorHealth,http://nihseniorhealth.gov/hearingloss/toc.html,,C0011053|C1384666|C2029884|C0018772,T033,Disorders,,0000032-9,Hearing Loss,What causes Hearing Loss?,"Hearing loss can result from taking certain medications. ""Ototoxic"" medications damage the inner ear, sometimes permanently. Check with your doctor if you notice a problem while taking a medication."
causes,7117,0001800,GARD,https://rarediseases.info.nih.gov/gard/6263/dermatomyositis,,C0221056|C0011633,T047,Disorders,Idiopathic inflammatory myopathy|Juvenile dermatomyositis|Juvenile polymyositis|Secondary glomerular disease,0001800-3,Dermatomyositis,What causes Dermatomyositis?,"The cause of this disorder is unknown. It is theorized that an autoimmune reaction (reactions caused by an immune response against the body's own tissues) or a viral infection of the skeletal muscle may cause the disease. In addition, some doctors think certain people may have a genetic susceptibility to the disease."
causes,12866,0000006_9,CancerGov,https://www.cancer.gov/types/brain/patient/child-ependymoma-treatment-pdq,,C1851584,T191,Disorders,,0000006_9-2,Childhood Ependymoma,What causes Childhood Ependymoma?,The cause of most childhood brain tumors is unknown.
causes,10620,0004874,GARD,https://rarediseases.info.nih.gov/gard/7609/pigmented-purpuric-eruption,,C0263396|C0151882|C0406515,T047,Disorders,Schamberg disease|Familial pigmented purpuric eruption|Schamberg purpura,0004874-3,Pigmented purpuric eruption,What causes Pigmented purpuric eruption?,"The cause of pigmented purpuric eruption is unknown. Occasionally, it occurs as a reaction to a medication, food additive, viral infection or following exercise. In rare cases, there appears to be a genetic component."
causes,8210,0002442,GARD,https://rarediseases.info.nih.gov/gard/10886/frontal-fibrosing-alopecia,,C1274700,T047,Disorders,FFA|Lichen planopilaris,0002442-3,Frontal fibrosing alopecia,What causes Frontal fibrosing alopecia?,The exact underlying cause of frontal fibrosing alopecia (FFA) is unknown. FFA is thought to be an autoimmune condition in which an affected person's immune system mistakenly attacks the hair follicles (structures in the skin that make hair). Scientists also suspect that there may be a hormonal component since the condition most commonly affects post-menopausal women over age 50.
causes,5912,0003319,GARD,https://rarediseases.info.nih.gov/gard/11901/juvenile-amyotrophic-lateral-sclerosis,,C0002736,T047,Disorders,"Amyotrophic lateral sclerosis, juvenile|Amyotrophic lateral sclerosis type 2|Amyotrophic lateral sclerosis type 4|Amyotrophic lateral sclerosis type 5",0003319-3,Juvenile amyotrophic lateral sclerosis,What causes Juvenile amyotrophic lateral sclerosis?,Juvenile amyotrophic lateral sclerosis (ALS) is often genetic and may be caused by mutations in the ALS2 or SETX genes. In some cases the underlying gene abnormality cannot be determined. Juvenile ALS may be inherited in an autosomal dominant (as in ALS type 4) or autosomal recessive (as in ALS type 2) fashion.
causes,9624,0001276,GARD,https://rarediseases.info.nih.gov/gard/3750/chromosome-3p--syndrome,,C0039082,T047,Disorders,"Del(3p) syndrome|Chromosome 3, monosomy 3p25|Deletion 3p25|Chromosome 3pter-p25 Deletion Syndrome|Telomeric monosomy 3p|Chromosome 3p deletion",0001276-3,Chromosome 3p- syndrome,What causes Chromosome 3p- syndrome?,"In most people with chromosome 3p- syndrome, the deletion occurs as a new mutation (called a de novo mutation) and is not inherited from a parent. De novo mutations are due to a random error that occurs during the formation of egg or sperm cells, or shortly after conception. In a few cases, the deletion is inherited from a parent."
causes,9919,0002152,GARD,https://rarediseases.info.nih.gov/gard/6369/erdheim-chester-disease,,C0878675|C0012634,T047,Disorders,ECD|Erdheim Chester disease|Lipoid granulomatosis|Non-Langerhans-Cell Histiocytosis,0002152-3,Erdheim-Chester disease,What causes Erdheim-Chester disease?,"The specific underlying cause of Erdheim-Chester disease is not known. It is not currently categorized as a cancer, infection or autoimmune disease. It it not believed to be contagious or genetic in nature."
causes,7571,0000676,GARD,https://rarediseases.info.nih.gov/gard/5906/bells-palsy,,C0376175|C0015469,T047,Disorders,Facial palsy|Facial cranial nerve paralysis|Bell palsy|Antoni's palsy|Facial nerve palsy,0000676-3,Bell's palsy,What causes Bell's palsy?,
causes,8055,0000674,GARD,https://rarediseases.info.nih.gov/gard/849/behr-syndrome,,C0221061,T047,Disorders,"Optic atrophy, infantile hereditary, Behr complicated form of|Optic atrophy in early childhood, associated with ataxia, spasticity, mental retardation, and posterior column sensory loss",0000674-3,Behr syndrome,What causes Behr syndrome?,"The exact cause of Behr syndrome is not known; however, a genetic cause is suspected based on the families identified, thus far."
causes,7341,0004831,GARD,https://rarediseases.info.nih.gov/gard/8422/peters-plus-syndrome,,C0796012,T019|T047,Disorders,Peters anomaly with short limb dwarfism|Krause-Kivlin syndrome|Congenital disorder of glycosylation with developmental anomaly,0004831-3,Peters plus syndrome,What causes Peters plus syndrome?,"No. Peters plus syndrome is genetic; therefore, there is nothing you or your partner could have done to cause or to prevent the syndrome."
